Cod_setor,Cod_Grandes Regiões,Nome_Grande_Regiao,Cod_UF,Nome_da_UF,Cod_meso,Nome_da_meso,Cod_micro,Nome_da_micro,Cod_RM,Nome_da_RM,Cod_municipio,Nome_do_municipio,Cod_distrito,Nome_do_distrito,Cod_subdistrito,Nome_do_subdistrito,Cod_bairro,Nome_do_bairro,Situacao_setor,Tipo_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012,X34,V062,V063,V064,V065,V066,V067,V068,V069,V070,V071,V072,V073,V074,V075,V076,V077,V078,V079,V080,V081,V082,V083,V084,V085,V086,V087,V088,V089,V090,V091,V092,V093,V094,V095,V096,V097,V098,V099,Mulheres,Homens,Responsavel
251370305000022,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,106,345,3.25,3.12,1016.42,1793151.29,1282.63,1922886.02,596.79,1038615.03,1072.15,1358094.48,NA,13,13,11,7,4,3,8,1,0,0,0,0,0,12,7,2,1,0,0,10,8,11,4,2,2,10,6,2,1,0,0,0,4,0,0,0,0,0,60,82,Homens
251370305000023,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,352,1176,3.34,2.33,1038.09,1145952.18,1145.48,1141472.66,598.3,710089.06,938.06,794739.44,NA,32,51,51,24,10,4,12,3,0,0,0,0,0,29,17,9,2,1,0,47,31,35,20,6,6,23,28,8,2,2,0,1,19,5,1,1,0,0,235,245,Homens
251370305000024,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,221,729,3.3,2.4,1090.31,1423098.19,1115.55,1427907.48,662.48,881249.81,952.31,991030.17,NA,20,42,43,11,0,7,7,6,2,0,0,0,0,14,24,11,2,0,0,23,24,18,5,6,1,14,13,10,5,0,0,0,10,5,2,0,0,0,136,189,Homens
251370305000025,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,215,773,3.6,1.82,537.93,400474.45,631.99,411112.77,349.73,314552.98,586.21,388811.27,NA,16,33,41,17,5,5,7,1,0,0,0,0,0,15,15,10,5,0,0,15,27,28,12,4,1,4,9,11,6,1,0,0,6,2,3,1,0,0,130,170,Homens
251370305000026,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,221,771,3.49,2.74,611.03,178487.86,671.83,155285.65,375.36,201052.11,640.76,173078.15,NA,20,39,42,18,11,7,12,2,1,0,0,0,0,18,21,4,1,2,0,16,14,15,7,4,2,14,12,2,2,0,0,0,4,3,0,0,0,0,95,198,Homens
251370305000027,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,232,840,3.62,2.99,626.9,883942.33,673.34,918310.79,357.57,408446.4,601.34,540618.99,NA,40,43,37,25,11,5,7,3,0,1,0,0,0,37,20,5,3,0,0,15,12,14,9,2,7,5,11,3,1,0,0,0,4,1,1,1,0,1,87,237,Homens
251370305000028,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,274,935,3.41,3.13,563.53,132820.16,610.3,115228.52,356.53,201528.03,543.35,205628.43,NA,43,49,47,21,9,10,17,1,0,0,0,0,0,42,22,8,1,0,0,14,17,14,7,5,5,16,8,6,1,1,0,0,6,7,1,0,0,0,108,270,Homens
251370305000029,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,303,1124,3.71,2.83,425.74,99688.94,474.26,87995.58,266.67,95029.64,443.49,79594.44,NA,26,37,39,30,8,3,11,6,2,0,0,0,0,20,13,6,4,0,0,23,30,36,22,10,14,14,18,12,4,2,0,0,5,5,3,1,0,0,199,205,Homens
251370305000030,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,158,554,3.51,3.33,430.13,111427.05,535.13,82211.21,237.9,97868.91,494.51,76439.8,NA,21,26,25,13,7,6,12,2,0,0,0,0,0,19,12,5,2,1,0,9,12,6,4,5,4,8,6,4,0,1,0,1,3,1,0,0,0,1,65,151,Homens
251370305000031,2,Região Nordeste,25,Paraiba,2504,Mata Paraibana,25022,João Pessoa,10,RM João Pessoa,2513703,SANTA RITA,251370305,SANTA RITA,25137030500,SANTA RITA,2513703000,SANTA RITA (todos os setores),1,0,296,1097,3.71,3.66,317.5,131324.01,454.01,125783.51,273.94,104693.11,483.55,83400.66,NA,18,20,13,10,5,6,13,2,0,0,0,0,0,16,8,0,0,1,0,34,56,47,30,12,18,14,28,19,13,5,1,0,6,1,0,1,0,0,285,112,Mulheres
